Title,Authors
Scholar Metrics Scraper (SMS): automated retrieval of citation and author data,"['Tim H. Murphy', 'Jeffrey LeDue']"
Activity dependent neuroprotection in the acute phase after stroke,"['Tim H. Murphy', 'Brian MacVicar', 'Jeffrey LeDue']"
Longitudinal monitoring of mesoscopic cortical activity using a fluorescent bead mouse model of small vessel disease and GCaMP6 imaging,"['Tim H. Murphy', 'Jeffrey LeDue']"
Mesoscale cortical mapping reveals region-specific and frequency-dependent changes in a mouse model of electroconvulsive therapy,"['Tim H. Murphy', 'Jeffrey LeDue']"
"IN VIVO, MESOSCALE VOLTAGE IMAGING OF CORTICAL DYNAMICS AS A PLATFORM FOR INVESTIGATING MOUSE MODELS OF NEURODEGENERATIVE AND PSYCHIATRIC DISEASE","['Tim H. Murphy', 'Yu Tian Wang', 'Jeffrey LeDue']"
"Special Section on Light Microscopy of Connectivity: Network analysis of mesoscale optical recordings to assess regional, functional connectivity","['Tim H. Murphy', 'Jeffrey LeDue']"
Cortical activity motifs that correspond to sensory modalities are organized within larger super-clusters,"['Tim H. Murphy', 'Jeffrey LeDue']"
Development of a Mouse Model of Diffuse Microinfarction and Automated Assessment Tools for Monitoring Recovery,"['Tim H. Murphy', 'Jeffrey LeDue']"
In Vivo Channelrhodopsin-2 Stimulation and Voltage-Sensitive Dye Imaging in a Mouse Model of Stroke Reveals Preserved Functional Connections Posterior to the Lesion,"['Tim H. Murphy', 'Jeffrey LeDue']"
"Improved Methods for Longitudinal Motor Mapping After Stroke in Mice: Automated Movement Tracking with Accelerometers, and Chronic EEG Recording in a Bilateral Cranial Window …","['Tim H. Murphy', 'Jeffrey LeDue']"
Optogenetic activation of mouse cortical inhibitory interneurons is sufficient to increase local blood flow,"['Tim H. Murphy', 'Jeffrey LeDue']"
"FUNCTIONAL SCREEN FOR SYNAPTIC ORGANIZERS: IDENTIFICATION OF TRKC-PTP sigma AND SLITRK, CANDIDATE GENES IN NEUROPSYCHIATRIC DISORDERS","['Tim H. Murphy', 'Yu Tian Wang']"
Mechanisms of altered N-methyl-D-aspartate receptor-mediated calcium signaling in the YAC mouse model of Huntington's disease,"['Tim H. Murphy', 'Lynn A Raymond']"
Modelling Microglial Innate Immune Memory In Vitro: Understanding the Role of Aerobic Glycolysis in Innate Immune Memory,"['Annie Vogel Ciernia', 'Brian MacVicar']"
Activation of neuronal NMDA receptors triggers transient ATP-mediated microglial process outgrowth,"['Brian MacVicar', 'Jeffrey LeDue']"
The cellular mechanisms of neuronal swelling underlying cytotoxic edema,"['Brian MacVicar', 'Snutch']"
"Prevention of LPS-induced microglia activation, cytokine production and sickness behavior with TLR4 receptor interfering peptides","['Brian MacVicar', 'Anthony Phillips']"
Ca2+ transients in astrocyte fine processes occur via Ca2+ influx in the adult mouse hippocampus,"['Brian MacVicar', 'Jeffrey LeDue']"
Cognitive flexibility and long-term depression (LTD) are impaired following β-catenin stabilization in vivo,"['Brian MacVicar', 'Shernaz Bamji']"
Contribution of calcium-dependent facilitation to synaptic plasticity revealed by migraine mutations in the P/Q-type calcium channel,"['Brian MacVicar', 'Snutch']"
A critical role for astrocytes in hypercapnic vasodilation in brain,"['Brian MacVicar', 'Jeffrey LeDue']"
3DMorph automatic analysis of microglial morphology in three dimensions from ex vivo and in vivo imaging,"['Brian MacVicar', 'Jeffrey LeDue']"
In vivo imaging reveals that pregabalin inhibits cortical spreading depression and propagation to subcortical brain structures,"['Brian MacVicar', 'Snutch', 'Jeffrey LeDue']"
"CaV3.2 drives sustained burst‐firing, which is critical for absence seizure propagation in reticular thalamic neurons","['Brian MacVicar', 'Snutch', 'Jeffrey LeDue']"
Progranulin promotes activation of microglia/macrophage after pilocarpine-induced status epilepticus,"['Brian MacVicar', 'Yu Tian Wang']"
The oral and fecal microbiota in a Canadian cohort of Alzheimer’s disease,"['Brian MacVicar', 'Silke Appel-Cresswell']"
Green fluorescent protein emission obscures metabolic fluorescent lifetime imaging of NAD (P) H,"['Brian MacVicar', 'Jeffrey LeDue']"
Hyperexcitable superior colliculus and fatal brainstem spreading depolarization in a model of sudden unexpected death in epilepsy,"['Brian MacVicar', 'Snutch']"
PANX1 in inflammation heats up: New mechanistic insights with implications for injury and infection,"['Brian MacVicar', 'Leigh Anne Swayne']"
KCC2 drives chloride microdomain formation in dendritic blebbing,"['Brian MacVicar', 'Jeffrey LeDue']"
Quantitative fluorescence lifetime imaging uncovers a novel role for kcc2 chloride transport in dendritic microdomains,"['Brian MacVicar', 'Jeffrey LeDue']"
Pannexin-1 opening in neuronal edema causes cell death but also leads to protection via increased microglia contacts,"['Brian MacVicar', 'Snutch', 'Jeffrey LeDue']"
Brain pericytes and perivascular fibroblasts are stromal progenitors that coordinate cerebrovascular regeneration after stroke,"['Brian MacVicar', 'Fabio MV Rossi']"
BRAIN COMMUNICATIONS AIN COMMUNICATIONS,"['Brian MacVicar', 'Snutch', 'Ian Mackenzie']"
Methods of treating brain edema,"['Brian MacVicar', 'Snutch']"
THE CELLULAR MECHANISMS OF NEURONAL SWELLING UNDERLYING CYTOTOXIC BRAIN EDEMA,"['Brian MacVicar', 'Snutch']"
Parcellation of the human hippocampus based on gray matter volume covariance: Replicable results on healthy young adults,"['Fidel Vila-Rodriguez', 'Z. Jane Wang']"
Predictive value of acute neuroplastic response to rTMS in treatment outcome in depression: a concurrent TMS-fMRI trial,"['Fidel Vila-Rodriguez', 'Sophia Frangou']"
"Electroconvulsive shock, but not transcranial magnetic stimulation, transiently elevates cell proliferation in the adult mouse Hippocampus","['Fidel Vila-Rodriguez', 'Jason S. Snyder']"
Individualized functional targeting for rTMS: A powerful idea whose time has come?,"['Fidel Vila-Rodriguez', 'Sophia Frangou']"
Sex effects on cortical morphological networks in healthy young adults,"['Fidel Vila-Rodriguez', 'Sophia Frangou']"
SS‐Detect: Development and Validation of a New Strategy for Source‐Based Morphometry in Multiscanner Studies,"['Fidel Vila-Rodriguez', 'Sophia Frangou']"
Intermittent theta burst transcranial magnetic stimulation induces hippocampal mossy fibre plasticity in male but not female mice,"['Fidel Vila-Rodriguez', 'Jason S. Snyder']"
"Psychiatric, Motor, and Autonomic Effects of Bifrontal ECT in Depressed Parkinson’s Disease Patients","['Fidel Vila-Rodriguez', 'Silke Appel-Cresswell']"
Effects of intermittent theta-burst transcranial magnetic stimulation on cognition and hippocampal volumes in bipolar depression,"['Fidel Vila-Rodriguez', 'Sophia Frangou']"
Psychotic symptoms in frontotemporal dementia with TDP‐43 tend to be associated with type B pathology,"['Fidel Vila-Rodriguez', 'Ian Mackenzie']"
Effects of intermittent theta burst stimulation on cognitive functioning and hippocampal volumes in bipolar depression,"['Fidel Vila-Rodriguez', 'Sophia Frangou']"
RESEARCH DAY 2010,"['Fidel Vila-Rodriguez', 'Todd S. Woodward']"
Progranulin deficiency decreases gross neural connectivity but enhances transmission at individual synapses,"['Shernaz Bamji', 'Ian Mackenzie', 'Lynn A Raymond']"
The X-linked intellectual disability gene Zdhhc9 is essential for dendrite outgrowth and inhibitory synapse formation,"['Shernaz Bamji', 'Snutch']"
Multi-model functionalization of disease-associated PTEN missense mutations identifies multiple molecular mechanisms underlying protein dysfunction,"['Shernaz Bamji', 'Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']"
Cadherins mediate cocaine-induced synaptic plasticity and behavioral conditioning,"['Shernaz Bamji', 'Anthony Phillips']"
Regulation of hippocampal excitatory synapses by the Zdhhc5 palmitoyl acyltransferase,"['Shernaz Bamji', 'Lynn A Raymond']"
Exploring the expression patterns of palmitoylating and de-palmitoylating enzymes in the mouse brain using the curated RNA-seq database BrainPalmSeq,"['Shernaz Bamji', 'Kurt Haas']"
CellPalmSeq: A curated RNAseq database of palmitoylating and de-palmitoylating enzyme expression in human cell types and laboratory cell lines,"['Shernaz Bamji', 'Kurt Haas']"
BrainPalmSeq: A curated RNA-seq database of palmitoylating and de-palmitoylating enzyme expression in the mouse brain,"['Shernaz Bamji', 'Kurt Haas']"
Multi-Model Functionalization of 106 PTEN Missense Mutations Identifies Multiple Molecular Mechanisms Underlying Protein Dysfunction,"['Shernaz Bamji', 'Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']"
Determining the Pathogenicity of a Variant in MEF2C in an Individual with Autism Spectrum Disorder Identified through a Targeted Childhood Epilepsy Panel,"['Shernaz Bamji', 'Kurt Haas']"
Exercise increases caudate dopamine release and ventral striatal activation in Parkinson's disease,"['Lara Boyd', 'Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
Greater activation of secondary motor areas is related to less arm use after stroke,"['Lara Boyd', 'Martin J. McKeown']"
Compensatory motor network connectivity is associated with motor sequence learning after subcortical stroke,"['Lara Boyd', 'Todd S. Woodward']"
White matter biomarkers associated with motor change in individuals with stroke: a continuous theta burst stimulation study,"['Lara Boyd', 'Todd S. Woodward']"
"Reshaping the path of mild cognitive impairment by refining exercise prescription: a study protocol of a randomized controlled trial to understand the “what,”“for whom,” and …","['Lara Boyd', 'Liisa Galea']"
Correlation analysis between dopamine release in striatal sub-regions and motor impairment in Parkinson's disease subjects,"['Lara Boyd', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']"
Decreased activation in a functionally connected motor network following motor sequence learning after subcortical stroke,"['Lara Boyd', 'Todd S. Woodward']"
Systematic phenomics analysis of autism-associated genes reveals parallel networks underlying reversible impairments in habituation,"['Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']"
The Canadian rare diseases models and mechanisms (RDMM) network: connecting understudied genes to model organisms,"['Paul Pavlidis', 'Rankin Catharine H']"
"Multi-parametric analysis of 57 SYNGAP1 variants reveal impacts on GTPase signaling, localization, and protein stability","['Paul Pavlidis', 'Kurt Haas']"
Cataloging the potential functional diversity of Cacna1e splice variants using long-read sequencing,"['Paul Pavlidis', 'Snutch']"
Systematic phenomics analysis of ASD-associated genes reveals shared functions and parallel networks underlying reversible impairments in habituation learning,"['Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']"
ÔØ Å ÒÙ× Ö ÔØ,"['Paul Pavlidis', 'Sophia Frangou', 'Vesna Sossi']"
Systematic phenomics analysis of ASD-associated genes reveals shared functions and,"['Paul Pavlidis', 'Kurt Haas', 'Rankin Catharine H']"
Advances in imaging in Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']"
Joint amplitude and connectivity compensatory mechanisms in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']"
Invited article: functional imaging in Parkinson disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl']"
Imaging of compensatory mechanisms in Parkinson's disease,"['Martin J. McKeown', 'Silke Appel-Cresswell']"
"A hidden Markov, multivariate autoregressive (HMM-mAR) network framework for analysis of surface EMG (sEMG) data","['Martin J. McKeown', 'Z. Jane Wang']"
"Morphological alterations in the caudate, putamen, pallidum, and thalamus in Parkinson's disease","['Martin J. McKeown', 'Silke Appel-Cresswell']"
DNAJC13 genetic variants in parkinsonism,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']"
The effect of LRRK2 mutations on the cholinergic system in manifest and premanifest stages of Parkinson's disease: a cross-sectional PET study,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']"
Asymptotic analysis of robust LASSOs in the presence of noise with large variance,"['Martin J. McKeown', 'Z. Jane Wang']"
Gender differences in Parkinson's disease depression,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']"
Shrinkage-to-tapering estimation of large covariance matrices,"['Martin J. McKeown', 'Z. Jane Wang']"
Habitual exercisers versus sedentary subjects with Parkinson's Disease: Multimodal PET and fMRI study,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
"A novel segmentation, mutual information network framework for EEG analysis of motor tasks","['Martin J. McKeown', 'Z. Jane Wang']"
Altered directional connectivity in Parkinson's disease during performance of a visually guided task,"['Martin J. McKeown', 'Z. Jane Wang']"
DCTN1 p. K56R in progressive supranuclear palsy,"['Martin J. McKeown', 'Silke Appel-Cresswell']"
Removal of high-voltage brain stimulation artifacts from simultaneous EEG recordings,"['Martin J. McKeown', 'Z. Jane Wang']"
A Bayesian Lasso via reversible-jump MCMC,"['Martin J. McKeown', 'Z. Jane Wang']"
"θ, β But not α-band EEG connectivity has implications for dual task performance in Parkinson’s disease","['Martin J. McKeown', 'Z. Jane Wang']"
A multiblock PLS model of cortico-cortical and corticomuscular interactions in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']"
An IC-PLS framework for group corticomuscular coupling analysis,"['Martin J. McKeown', 'Z. Jane Wang']"
ICA denoising for event-related fMRI studies,"['Martin J. McKeown', 'Z. Jane Wang']"
Abnormal phase coupling in Parkinson’s disease and normalization effects of subthreshold vestibular stimulation,"['Martin J. McKeown', 'Z. Jane Wang']"
A generalized multivariate autoregressive (GmAR)-based approach for EEG source connectivity analysis,"['Martin J. McKeown', 'Z. Jane Wang']"
Novel spatial analysis method for PET images using 3D moment invariants: Applications to Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
Small P values may not yield robust findings: an example using REST-meta-PD,"['Martin J. McKeown', 'Z. Jane Wang']"
A three-step multimodal analysis framework for modeling corticomuscular activity with application to Parkinson’s disease,"['Martin J. McKeown', 'Z. Jane Wang']"
Bayesian network modeling for discovering “dependent synergies” among muscles in reaching movements,"['Martin J. McKeown', 'Z. Jane Wang']"
Local linear discriminant analysis (LLDA) for group and region of interest (ROI)-based fMRI analysis,"['Martin J. McKeown', 'Z. Jane Wang']"
Investigation of serotonergic Parkinson's disease-related covariance pattern using [11C]-DASB/PET,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']"
"A genetically informed, group FMRI connectivity modeling approach: application to schizophrenia","['Martin J. McKeown', 'Silke Appel-Cresswell']"
University of British Columbia,"['Martin J. McKeown', 'Brian D. Fisher']"
Joint pattern analysis applied to PET DAT and VMAT2 imaging reveals new insights into Parkinson's disease induced presynaptic alterations,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']"
Decreased subregional specificity of the putamen in Parkinson's Disease revealed by dynamic connectivity-derived parcellation,"['Martin J. McKeown', 'Z. Jane Wang']"
Decisions under risk in Parkinson’s disease: Preserved evaluation of probability and magnitude,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']"
Dynamic Bayesian networks (DBNS) demonstrate impaired brain connectivity during performance of simultaneous movements in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']"
Increasing the effect size in event-related fMRI studies,"['Martin J. McKeown', 'Z. Jane Wang']"
Altered EEG alpha and theta oscillations characterize apathy in Parkinson's disease during incentivized movement,"['Martin J. McKeown', 'Silke Appel-Cresswell']"
A framework for group analysis of fMRI data using dynamic Bayesian networks,"['Martin J. McKeown', 'Z. Jane Wang']"
Small effect size leads to reproducibility failure in resting-state fMRI studies,"['Martin J. McKeown', 'Z. Jane Wang']"
Serotonergic system impacts levodopa response in early Parkinson's and future risk of dyskinesia,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']"
Structural network analysis using diffusion MRI tractography in Parkinson's disease and correlations with motor impairment,"['Martin J. McKeown', 'Silke Appel-Cresswell']"
EEG source extraction by autoregressive source separation reveals abnormal synchronization in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']"
Learning brain connectivity with the false-discovery-rate-controlled PC-algorithm,"['Martin J. McKeown', 'Z. Jane Wang']"
Atlas-guided parcellation: Individualized functionally-homogenous parcellation in cerebral cortex,"['Martin J. McKeown', 'Z. Jane Wang']"
Connectivity-based parcellation of functional SubROIs in putamen using a sparse spatially regularized regression model,"['Martin J. McKeown', 'Z. Jane Wang']"
A time-varying eigenspectrum/SVM method for sEMG classification of reaching movements in healthy and stroke subjects,"['Martin J. McKeown', 'Z. Jane Wang']"
Feature selection to simplify BDI for efficient depression identification,"['Martin J. McKeown', 'Z. Jane Wang', 'Silke Appel-Cresswell']"
Hidden Markov multivariate autoregressive (HMM-mAR) modeling framework for surface electromyography (sEMG) data,"['Martin J. McKeown', 'Z. Jane Wang']"
"Novel data-driven, equation-free method captures spatio-temporal patterns of neurodegeneration in Parkinson's disease: Application of dynamic mode decomposition to PET","['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Vesna Sossi']"
New insights into levodopa induced dopamine release in Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
"An FDR-controlled, exploratory group modeling for assessing brain connectivity","['Martin J. McKeown', 'Z. Jane Wang']"
Asymptotic analysis of the Huberized LASSO estimator,"['Martin J. McKeown', 'Z. Jane Wang']"
Parcellation of functional sub-regions from fMRI: A graph clustering based approach,"['Martin J. McKeown', 'Z. Jane Wang']"
Exercise alters response of reward anticipation in the ventral striatum of subjects with Parkinson's disease,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell', 'Vesna Sossi']"
Connectivity-based parcellation of putamen using resting state fMRI data,"['Martin J. McKeown', 'Z. Jane Wang']"
A heart beat rate detection framework using multiple nanofiber sensor signals,"['Martin J. McKeown', 'Z. Jane Wang', 'Peyman Servati']"
A tridirectional method for corticomuscular coupling analysis in Parkinson's disease,"['Martin J. McKeown', 'Z. Jane Wang']"
"Study of stroke condition and hand dominance using a hidden Markov, multivariate autoregressive (HMM-mAR) network framework","['Martin J. McKeown', 'Z. Jane Wang']"
Controlling the false discovery rate in modeling brain functional connectivity,"['Martin J. McKeown', 'Z. Jane Wang']"
Dopamine replacement remediates risk aversion in Parkinson's disease in a value-independent manner,"['Martin J. McKeown', 'A Jon Stoessl OR jon Stoessl', 'Silke Appel-Cresswell']"
A Multimodal data fusion approach efficiently predicts disease duration in multiple sclerosis,"['Martin J. McKeown', 'Z. Jane Wang']"
Novel spatial analysis method for PET data using 3D moment invariants: applications to Parkinson's disease,"['Martin J. McKeown', 'Silke Appel-Cresswell', 'Vesna Sossi']"
Large covariance matrix estimation: Bridging shrinkage and tapering approaches,"['Martin J. McKeown', 'Z. Jane Wang']"
Spectral Clustering of fMRI Data within Regions of Interest: Clarification of L-dopa effects in Parkinson's Disease,"['Martin J. McKeown', 'Z. Jane Wang']"
