,Author,SciVal Coauthors,Google Scholar Coauthors,SciVal Degrees,Google Scholar Degrees,SciVal Betweenness Centrality,Google Scholar Betweenness Centrality,SciVal Document Count,Google Scholar Document Count
10,Brian MacVicar,"{'Tim H. Murphy': 2, 'Jeffrey LeDue': 10, 'Silke Cresswell': 1, 'Terry Snutch': 5, 'Leigh Anne Swayne': 1, 'Shernaz Bamji': 1, 'Yu Tian Wang': 2, 'Anthony Phillips': 1}","{'Tim H. Murphy': 3, 'Jeffrey LeDue': 13, 'Annie Ciernia': 1, 'Terry Snutch': 9, 'Anthony Phillips': 1, 'Shernaz Bamji': 1, 'Yu Tian Wang': 1, 'Silke Cresswell': 1, 'Leigh Anne Swayne': 1, 'Fabio Rossi': 1, 'Ian Mackenzie': 1}",8.0,11.0,0.2787878787878788,0.10707070707070707,167,218
11,Ian Mackenzie,"{'Fidel Vila-Rodriguez': 1, 'Shernaz Bamji': 1, 'Lynn Raymond': 2, 'A Jon Stoessl': 2, 'Vesna Sossi': 2, 'Yu Tian Wang': 1}","{'Brian MacVicar': 1, 'Terry Snutch': 1, 'Fidel Vila-Rodriguez': 1, 'Shernaz Bamji': 1, 'Lynn Raymond': 3, 'A Jon Stoessl': 6, 'Vesna Sossi': 6}",6.0,7.0,0.4131313131313132,0.09090909090909091,282,498
12,Vesna Sossi,"{'Lara Boyd': 1, 'Martin McKeown': 11, 'A Jon Stoessl': 73, 'Silke Cresswell': 6, 'Ian Mackenzie': 2, 'Anthony Phillips': 2, 'Catharine Winstanley': 1, 'Todd Woodward': 1}","{'Lara Boyd': 2, 'Martin McKeown': 21, 'A Jon Stoessl': 134, 'Silke Cresswell': 15, 'Paul Pavlidis': 1, 'Sophia Frangou': 1, 'Anthony Phillips': 2, 'Ian Mackenzie': 6, 'Catharine Winstanley': 3, 'Todd Woodward': 1}",8.0,10.0,0.26666666666666666,0.07676767676767676,334,500
13,Helge Rhodin,"{'Tim H. Murphy': 2, 'Jeffrey LeDue': 1, 'Leonid Sigal': 1, 'Z. Jane Wang': 2}","{'Tim H. Murphy': 2, 'Jeffrey LeDue': 1, 'Leonid Sigal': 1, 'Z. Jane Wang': 1}",4.0,4.0,0.07878787878787878,0.07272727272727272,52,83
14,Purang Abolmaesumi,"{'Z. Jane Wang': 1, 'Liisa Galea': 1, 'Brian D. Fisher': 2, 'Ilker Hacihaliloglu': 11}",{'Ilker Hacihaliloglu': 11},4.0,1.0,0.0,0.07272727272727272,358,462
15,Shernaz Bamji,"{'Brian MacVicar': 1, 'Yu Tian Wang': 1, 'Kurt Haas': 3, 'Lynn Raymond': 2, 'Paul Pavlidis': 1, 'Catharine Rankin': 1, 'Terry Snutch': 1, 'Anthony Phillips': 1, 'Ian Mackenzie': 1}","{'Brian MacVicar': 1, 'Ian Mackenzie': 1, 'Lynn Raymond': 2, 'Terry Snutch': 1, 'Paul Pavlidis': 2, 'Kurt Haas': 6, 'Catharine Rankin': 2, 'Anthony Phillips': 1}",9.0,8.0,0.15858585858585855,0.06868686868686869,44,61
16,Silke Cresswell,"{'Brian MacVicar': 1, 'Fidel Vila-Rodriguez': 1, 'Lara Boyd': 1, 'Martin McKeown': 14, 'A Jon Stoessl': 14, 'Vesna Sossi': 6, 'Z. Jane Wang': 2}","{'Brian MacVicar': 1, 'Fidel Vila-Rodriguez': 1, 'Lara Boyd': 1, 'Martin McKeown': 33, 'A Jon Stoessl': 25, 'Vesna Sossi': 15, 'Z. Jane Wang': 4, 'Catharine Winstanley': 1, 'Wolfram Tetzlaff': 1}",7.0,9.0,0.09090909090909091,0.04242424242424243,46,98
17,Lara Boyd,"{'Liisa Galea': 1, 'Martin McKeown': 2, 'A Jon Stoessl': 1, 'Silke Cresswell': 1, 'Vesna Sossi': 1, 'Todd Woodward': 2}","{'Martin McKeown': 2, 'A Jon Stoessl': 2, 'Silke Cresswell': 1, 'Vesna Sossi': 2, 'Todd Woodward': 3, 'Liisa Galea': 1}",6.0,6.0,0.052525252525252523,0.026262626262626262,217,361
18,Liisa Galea,"{'Lara Boyd': 1, 'Z. Jane Wang': 1, 'Brian D. Fisher': 1, 'Purang Abolmaesumi': 1, 'Sophia Frangou': 1}","{'Lara Boyd': 1, 'Catharine Rankin': 1, 'Sophia Frangou': 1}",5.0,3.0,0.0,0.006060606060606061,210,297
19,Sophia Frangou,"{'Fidel Vila-Rodriguez': 5, 'Liisa Galea': 1}","{'Fidel Vila-Rodriguez': 6, 'Paul Pavlidis': 1, 'Vesna Sossi': 1, 'Liisa Galea': 1, 'Eric Shea-Brown': 1, 'Randy Mcintosh': 3}",2.0,6.0,0.24848484848484848,0.00404040404040404,313,638
20,Kurt Haas,"{'Shernaz Bamji': 3, 'Paul Pavlidis': 3, 'Catharine Rankin': 2}","{'Shernaz Bamji': 6, 'Paul Pavlidis': 6, 'Catharine Rankin': 5}",3.0,3.0,0.1191919191919192,0.00404040404040404,55,74
21,Todd Woodward,"{'Lara Boyd': 2, 'Anthony Phillips': 1, 'Jeremy Seamans': 1, 'Vesna Sossi': 1}","{'Fidel Vila-Rodriguez': 1, 'Lara Boyd': 3, 'Anthony Phillips': 1, 'Jeremy Seamans': 1, 'Vesna Sossi': 1}",4.0,5.0,0.007070707070707071,0.0,184,296
22,Andy Shih,{'Tim H. Murphy': 9},{'Tim H. Murphy': 9},1.0,1.0,0.0,0.0,73,87
23,Manu Madhav,,,0.0,0.0,0.0,0.0,13,28
24,Eric Shea-Brown,{'Adrienne Fairhall': 3},"{'Sophia Frangou': 1, 'Adrienne Fairhall': 3}",1.0,2.0,0.07878787878787878,0.0,82,197
25,Adrienne Fairhall,{'Eric Shea-Brown': 3},{'Eric Shea-Brown': 3},1.0,1.0,0.0,0.0,69,119
26,Craig E. Brown,"{'Tim H. Murphy': 6, 'Leigh Anne Swayne': 1}","{'Tim H. Murphy': 6, 'Leigh Anne Swayne': 1}",2.0,2.0,0.0,0.0,38,39
27,Leigh Anne Swayne,"{'Brian MacVicar': 1, 'Craig E. Brown': 1}","{'Brian MacVicar': 1, 'Craig E. Brown': 1}",2.0,2.0,0.0,0.0,53,65
28,Ilker Hacihaliloglu,{'Purang Abolmaesumi': 11},{'Purang Abolmaesumi': 11},1.0,1.0,0.0,0.0,70,116
29,Brian D. Fisher,"{'Z. Jane Wang': 1, 'Liisa Galea': 1, 'Purang Abolmaesumi': 2}",{'Martin McKeown': 1},3.0,1.0,0.0,0.0,96,187
30,Randy Mcintosh,,{'Sophia Frangou': 3},0.0,1.0,0.0,0.0,297,474
31,Emily Sylwestrak,,,0.0,0.0,0.0,0.0,10,16
32,Catharine Winstanley,{'Vesna Sossi': 1},"{'Martin McKeown': 1, 'A Jon Stoessl': 3, 'Silke Cresswell': 1, 'Peter Cripton': 1, 'Anthony Phillips': 1, 'Vesna Sossi': 3, 'Jeremy Seamans': 1}",1.0,7.0,0.0,0.0,74,184
33,Jason Snyder,{'Fidel Vila-Rodriguez': 2},{'Fidel Vila-Rodriguez': 2},1.0,1.0,0.0,0.0,37,40
34,Peyman Servati,"{'Martin McKeown': 1, 'Z. Jane Wang': 1}","{'Martin McKeown': 1, 'Z. Jane Wang': 2}",2.0,2.0,0.0,0.0,137,294
35,Leonid Sigal,{'Helge Rhodin': 1},{'Helge Rhodin': 1},1.0,1.0,0.0,0.0,128,229
36,Michael Gordon,,,0.0,0.0,0.0,0.0,29,34
37,Annie Ciernia,,{'Brian MacVicar': 1},0.0,1.0,0.0,0.0,28,44
38,Jane Roskams,{'Wolfram Tetzlaff': 9},{'Wolfram Tetzlaff': 9},1.0,1.0,0.0,0.0,60,68
39,Fabio Rossi,{'Wolfram Tetzlaff': 1},"{'Brian MacVicar': 1, 'Wolfram Tetzlaff': 1}",1.0,2.0,0.0,0.0,174,140
40,Mark Cembrowski,,"{'Tim H. Murphy': 1, 'Peter Cripton': 1, 'Jeffrey LeDue': 1}",0.0,3.0,0.0,0.0,24,35
41,Paul Pavlidis,"{'Shernaz Bamji': 1, 'Kurt Haas': 3, 'Catharine Rankin': 3, 'Jeffrey LeDue': 1}","{'Shernaz Bamji': 2, 'Kurt Haas': 6, 'Catharine Rankin': 6, 'Terry Snutch': 1, 'Sophia Frangou': 1, 'Vesna Sossi': 1}",4.0,6.0,0.059595959595959605,0.0,158,245
42,Peter Cripton,{'Wolfram Tetzlaff': 6},"{'Tim H. Murphy': 1, 'Mark Cembrowski': 1, 'Jeffrey LeDue': 1, 'Wolfram Tetzlaff': 14, 'Catharine Winstanley': 1}",1.0,5.0,0.010101010101010102,0.0,179,284
43,Terry Snutch,"{'Tim H. Murphy': 1, 'Brian MacVicar': 5, 'Jeffrey LeDue': 2, 'Shernaz Bamji': 1, 'A Jon Stoessl': 1, 'Anthony Phillips': 3}","{'Tim H. Murphy': 1, 'Brian MacVicar': 9, 'Jeffrey LeDue': 3, 'Ian Mackenzie': 1, 'Shernaz Bamji': 1, 'Paul Pavlidis': 1, 'A Jon Stoessl': 1, 'Anthony Phillips': 3, 'Catharine Rankin': 1}",6.0,9.0,0.0,0.0,208,462
44,Jeremy Seamans,"{'Anthony Phillips': 15, 'Yu Tian Wang': 1, 'Todd Woodward': 1}","{'Anthony Phillips': 15, 'Yu Tian Wang': 1, 'Catharine Winstanley': 1, 'Todd Woodward': 1}",3.0,4.0,0.0,0.0,70,107
45,Catharine Rankin,"{'Shernaz Bamji': 1, 'Paul Pavlidis': 3, 'Kurt Haas': 2, 'Yu Tian Wang': 1}","{'Shernaz Bamji': 2, 'Paul Pavlidis': 6, 'Kurt Haas': 5, 'Yu Tian Wang': 1, 'Terry Snutch': 1, 'Liisa Galea': 1}",4.0,6.0,0.04040404040404041,0.0,111,209
