GS ONLY publications,GS ONLY title,GS ONLY coauthors,SV ONLY publications,SV ONLY title,SV ONLY coauthors,shared publications,shared gs title,shared sv title,shared gs coauthors,shared sv coauthors
influencesofgenderdepressionanddiseaseseverityonmocasubscoresinparksinonsdisease,"Influences of Gender, Depression and Disease Severity on Moca Subscores in Parksinon's Disease","['Martin McKeown', 'Silke Cresswell']",galvanicvestibularstimulationgvsaugmentsdeficientpedunculopontinenucleusppnconnectivityinmildparkinsonsdiseasefmrieffectsofdifferentstimuli,Galvanic Vestibular Stimulation (GVS) Augments Deficient Pedunculopontine Nucleus (PPN) Connectivity in Mild Parkinson's Disease: fMRI Effects of Different Stimuli,"['Martin McKeown', 'Z. Jane Wang']",combinationofolfactoryensheathingcellswithlocalversussystemiccamptreatmentafteracervicalrubrospinaltractinjury,Combination of olfactory ensheathing cells with local versus systemic cAMP treatment after a cervical rubrospinal tract injury,Combination of olfactory ensheathing cells with local versus systemic cAMP treatment after a cervical rubrospinal tract injury,"['Wolfram Tetzlaff', 'Jane Roskams']","['Wolfram Tetzlaff', 'Jane Roskams']"
dopamineresponsetoahedonicstimulusnaturalrewardapetstudy,Dopamine response to a hedonic stimulus/natural reward: A PET study,"['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']",acombinedstaticanddynamicmodelforrestingstatebrainconnectivitynetworks,A Combined Static and Dynamic Model for Resting-State Brain Connectivity Networks,"['Martin McKeown', 'Z. Jane Wang']",multiparametricanalysisof57syngap1variantsrevealimpactsongtpasesignalinglocalizationandproteinstability,"Multi-parametric analysis of 57 SYNGAP1 variants reveal impacts on GTPase signaling, localization, and protein stability","Multi-parametric analysis of 57 SYNGAP1 variants reveal impacts on GTPase signaling, localization, and protein stability","['Paul Pavlidis', 'Kurt Haas']","['Paul Pavlidis', 'Kurt Haas']"
dopadecarboxylaseupregulationanddopaminetransporterdownregulationcompensateforstriataldopaminedeficiencyinpresymptomaticfamilialparkinsonsdisease,Dopa decarboxylase upregulation and dopamine transporter downregulation compensate for striatal dopamine deficiency in pre-symptomatic familial Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']",emergingneuroimagingtechnologiestowardfuturepersonalizeddiagnosticsprognosistargetedinterventionandethicalchallenges,"Emerging neuroimaging technologies: Toward future personalized diagnostics, prognosis, targeted intervention, and ethical challenges","['Todd Woodward', 'Vesna Sossi']",pannexin1regulatesnetworkensemblesanddendriticspinedevelopmentincorticalneurons,Pannexin 1 regulates network ensembles and dendritic spine development in cortical neurons,Pannexin 1 regulates network ensembles and dendritic spine development in cortical neurons,"['Leigh Anne Swayne', 'Craig E. Brown']","['Leigh Anne Swayne', 'Craig E. Brown']"
effectofpopulationk2valuesingraphicalestimationofdvratiosofreversibleligands,Effect of population k2 values in graphical estimation of DV ratios of reversible ligands,"['A Jon Stoessl', 'Vesna Sossi']",noisygalvanicvestibularstimulationmodulatestheamplitudeofeegsynchronypatterns,Noisy Galvanic Vestibular Stimulation Modulates the Amplitude of EEG Synchrony Patterns,"['Martin McKeown', 'Z. Jane Wang']",mesoscaleinfraslowspontaneousmembranepotentialfluctuationsrecapitulatehighfrequencyactivitycorticalmotifs,Mesoscale infraslow spontaneous membrane potential fluctuations recapitulate high-frequency activity cortical motifs,Mesoscale infraslow spontaneous membrane potential fluctuations recapitulate high-frequency activity cortical motifs,"['Tim H. Murphy', 'Yu Tian Wang', 'Jeffrey LeDue']","['Tim H. Murphy', 'Yu Tian Wang', 'Jeffrey LeDue']"
noveldatadrivenmethodcapturesspatiotemporalpatternsofneurodegenerationinparkinsonsdisease,Novel data-driven method captures spatio-temporal patterns of neurodegeneration in Parkinson's disease,"['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']",3dcnnbasedautomaticdiagnosisofattentiondeficithyperactivitydisorderusingfunctionalandstructuralmri,3D CNN Based Automatic Diagnosis of Attention Deficit Hyperactivity Disorder Using Functional and Structural MRI,"['Martin McKeown', 'Z. Jane Wang']",individualizedfunctionaltargetingforrtmsapowerfulideawhosetimehascome,Individualized functional targeting for rTMS: A powerful idea whose time has come?,Individualized functional targeting for rTMS: A powerful idea whose time has come?,"['Fidel Vila-Rodriguez', 'Sophia Frangou']","['Fidel Vila-Rodriguez', 'Sophia Frangou']"
mesoscalecorticalmappingrevealsregionspecificandfrequencydependentchangesinamousemodelofelectroconvulsivetherapy,Mesoscale cortical mapping reveals region-specific and frequency-dependent changes in a mouse model of electroconvulsive therapy,"['Tim H. Murphy', 'Jeffrey LeDue']",removingmuscleartifactsfromeegdatamultichannelorsinglechanneltechniques,Removing Muscle Artifacts from EEG Data: Multichannel or Single-Channel Techniques?,"['Martin McKeown', 'Z. Jane Wang']",theeffectoflrrk2mutationsonthecholinergicsysteminmanifestandpremanifeststagesofparkinsonsdiseaseacrosssectionalpetstudy,The effect of LRRK2 mutations on the cholinergic system in manifest and premanifest stages of Parkinson's disease: a cross-sectional PET study,The effect of LRRK2 mutations on the cholinergic system in manifest and premanifest stages of Parkinson's disease: a cross-sectional PET study,"['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']","['Martin McKeown', 'A Jon Stoessl', 'Vesna Sossi']"
newinsightsintolevodopainduceddopaminereleaseinparkinsonsdisease,New insights into levodopa induced dopamine release in Parkinson's disease,"['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']",selfsupervised3dhumanposeestimationfromvideo,Self-supervised 3D human pose estimation from video,"['Z. Jane Wang', 'Helge Rhodin']",extensiveturnoverofdendriticspinesandvascularremodelingincorticaltissuesrecoveringfromstroke,Extensive turnover of dendritic spines and vascular remodeling in cortical tissues recovering from stroke,Extensive turnover of dendritic spines and vascular remodeling in cortical tissues recovering from stroke,"['Tim H. Murphy', 'Craig E. Brown']","['Tim H. Murphy', 'Craig E. Brown']"
riskpromotingeffectsofrewardpairedcuesinhumansignandgoaltrackers,Risk-Promoting Effects of Reward-Paired Cues in Human Sign-and Goal-Trackers,"['A Jon Stoessl', 'Catharine Winstanley']",lecturenotesincomputerscienceincludingsubserieslecturenotesinartificialintelligenceandlecturenotesinbioinformaticspreface,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics): Preface,"['Brian D. Fisher', 'Purang Abolmaesumi']",greenfluorescentproteinemissionobscuresmetabolicfluorescentlifetimeimagingofnadph,Green fluorescent protein emission obscures metabolic fluorescent lifetime imaging of NAD (P) H,Green fluorescent protein emission obscures metabolic fluorescent lifetime imaging of NAD(P)H,"['Brian MacVicar', 'Jeffrey LeDue']","['Brian MacVicar', 'Jeffrey LeDue']"
brainpalmseqacuratedrnaseqdatabaseofpalmitoylatinganddepalmitoylatingenzymeexpressioninthemousebrain,BrainPalmSeq: A curated RNA-seq database of palmitoylating and de-palmitoylating enzyme expression in the mouse brain,"['Shernaz Bamji', 'Kurt Haas']",awindowedeigenspectrummethodformultivariatesemgclassificationduringreachingmovements,A windowed eigenspectrum method for multivariate sEMG classification during reaching movements,"['Martin McKeown', 'Z. Jane Wang']",patranlearningtoestimate3dhandposewithpartialannotation,PA-Tran: Learning to Estimate 3D Hand Pose with Partial Annotation,PA-Tran: Learning to Estimate 3D Hand Pose with Partial Annotation,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
alteredcorticoputaminaldticonnectivitypatternsinparkinsonsdiseaseandtheirassociationwithmotorimpairment,Altered cortico-putaminal DTI connectivity patterns in Parkinson's disease and their association with motor impairment,"['Martin McKeown', 'Silke Cresswell']",invivovoltagesensitivedyeimaginginadultmicerevealsthatsomatosensorymapslosttostrokearereplacedoverweeksbynewstructuralandfunctionalcircuitswithprolongedmodesofactivationwithinboththeperiinfarctzoneanddistantsites,In vivo voltage-sensitive dye imaging in adult mice reveals that somatosensory maps lost to stroke are replaced over weeks by new structural and functional circuits with prolonged modes of activation within both the peri-infarct zone and distant sites,"['Tim H. Murphy', 'Craig E. Brown']",cttousregistrationofthelumbarspineaclinicalfeasibilitystudy,CT to US registration of the lumbar spine: a clinical feasibility study,CT to US registration of the lumbar spine: A clinical feasibility study,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
multimodelfunctionalizationof106ptenmissensemutationsidentifiesmultiplemolecularmechanismsunderlyingproteindysfunction,Multi-Model Functionalization of 106 PTEN Missense Mutations Identifies Multiple Molecular Mechanisms Underlying Protein Dysfunction,"['Shernaz Bamji', 'Paul Pavlidis', 'Kurt Haas', 'Catharine Rankin']",interferencepeptidesanoveltherapeuticapproachtargetingsynapticplasticityindrugaddiction,Interference peptides: A novel therapeutic approach targeting synaptic plasticity in drug addiction,"['Anthony Phillips', 'Yu Tian Wang']",analysisoffourdopaminergictracerskineticsusingtwodifferenttissueinputfunctionmethods,Analysis of four dopaminergic tracers kinetics using two different tissue input function methods,Analysis of four dopaminergic tracers kinetics using two different tissue input function methods,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
2121broadbanddirectionaleegconnectivitychangesduringmotorpreparationpredictsparkinsonsdiseaseseverity,2.121 BROAD-BAND DIRECTIONAL EEG CONNECTIVITY CHANGES DURING MOTOR PREPARATION PREDICTS PARKINSON'S DISEASE SEVERITY,"['Martin McKeown', 'Z. Jane Wang']",sparsemultivariateautoregressivemarbasedpartialdirectedcoherencepdcforelectroencephalogrameeganalysis,Sparse multivariate autoregressive (MAR)-based partial directed coherence (PDC) for electroencephalogram (EEG) analysis,"['Martin McKeown', 'Z. Jane Wang']",locallineardiscriminantanalysislldaforinferenceofmultisubjectfmridata,Local Linear Discriminant Analysis (LLDA) For Inference Of Multisubject fMRI Data,Local linear discriminant analysis (LLDA) for inference of multisubject FMRI data,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
theeffectsofsensoryrewardcuesonriskydecisionmakinginparkinsonsdisease,The effects of sensory reward cues on risky decision making in Parkinson's disease,"['Martin McKeown', 'A Jon Stoessl', 'Catharine Winstanley', 'Silke Cresswell']",openscienceinplayandintensionwithpatentprotections,Open science in play and in tension with patent protections,"['Paul Pavlidis', 'Jeffrey LeDue']",roleofnr2btypenmdareceptorsinselectiveneurodegenerationinhuntingtondisease,Role of NR2B-type NMDA receptors in selective neurodegeneration in Huntington disease,Role of NR2B-type NMDA receptors in selective neurodegeneration in Huntington disease,"['Tim H. Murphy', 'Lynn Raymond']","['Tim H. Murphy', 'Lynn Raymond']"
highspeedradiographycanbeusedtomeasuredynamicspinalcorddeformationinaninvivorodentmodel,High Speed Radiography Can Be Used to Measure Dynamic Spinal Cord Deformation in an in vivo Rodent Model,"['Peter Cripton', 'Wolfram Tetzlaff']",amultisubjectdynamicbayesiannetworksdbnsframeworkforbraineffectiveconnectivity,"A multi-subject, dynamic Bayesian networks (DBNS) framework for brain effective connectivity","['Martin McKeown', 'Z. Jane Wang']",agespecificprogressionofnigrostriataldysfunctioninparkinsonsdisease,Age‐specific progression of nigrostriatal dysfunction in Parkinson's disease,Age-specific progression of nigrostriatal dysfunction in Parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
specialsectiononlightmicroscopyofconnectivitynetworkanalysisofmesoscaleopticalrecordingstoassessregionalfunctionalconnectivity,"Special Section on Light Microscopy of Connectivity: Network analysis of mesoscale optical recordings to assess regional, functional connectivity","['Tim H. Murphy', 'Jeffrey LeDue']",hdacinhibitionleadstoagedependentoppositeregenerativeeffectuponptendeletioninrubrospinalaxonsaftersci,HDAC inhibition leads to age-dependent opposite regenerative effect upon PTEN deletion in rubrospinal axons after SCI,"['Wolfram Tetzlaff', 'Jane Roskams']",increasingtheeffectsizeineventrelatedfmristudies,Increasing the effect size in event-related fMRI studies,Increasing the effect size in event-related fMRI studies,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
dopaminedeficiencyisassociatedwithriskaversionbutnotlossaversioninparkinsonsdisease,Dopamine deficiency is associated with risk aversion but not loss aversion in Parkinson’s disease,"['Martin McKeown', 'A Jon Stoessl', 'Silke Cresswell']",novelregionalactivityrepresentationwithconstrainedcanonicalcorrelationanalysisforbrainconnectivitynetworkestimation,Novel Regional Activity Representation with Constrained Canonical Correlation Analysis for Brain Connectivity Network Estimation,"['Martin McKeown', 'Z. Jane Wang']",removalofhighvoltagebrainstimulationartifactsfromsimultaneouseegrecordings,Removal of high-voltage brain stimulation artifacts from simultaneous EEG recordings,Removal of High-Voltage Brain Stimulation Artifacts from Simultaneous EEG Recordings,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
systematicphenomicsanalysisofasdassociatedgenesrevealssharedfunctionsandparallelnetworksunderlyingreversibleimpairmentsinhabituationlearning,Systematic phenomics analysis of ASD-associated genes reveals shared functions and parallel networks underlying reversible impairments in habituation learning,"['Paul Pavlidis', 'Kurt Haas', 'Catharine Rankin']",removalofmuscleartifactsfromtheeegareviewandrecommendations,Removal of Muscle Artifacts from the EEG: A Review and Recommendations,"['Martin McKeown', 'Z. Jane Wang']",scaphoidfracturefixationlocalizationofbonesthroughstatisticalmodeltoultrasoundregistration,Scaphoid fracture fixation: localization of bones through statistical model to ultrasound registration,Scaphoid fracture fixation: Localization of bones through statistical model to ultrasound registration,"['Ilker Hacihaliloglu', 'Purang Abolmaesumi']","['Ilker Hacihaliloglu', 'Purang Abolmaesumi']"
25thannualcomputationalneurosciencemeetingcns2016,25th annual computational neuroscience meeting: CNS-2016,"['Sophia Frangou', 'Eric Shea-Brown']",interferencewithampareceptorendocytosiseffectsonbehaviouralandneurochemicalcorrelatesofamphetaminesensitizationinmalerats,Interference with AMPA receptor endocytosis: Effects on behavioural and neurochemical correlates of amphetamine sensitization in male rats,"['Anthony Phillips', 'Yu Tian Wang']",largecovariancematrixestimationbridgingshrinkageandtaperingapproaches,Large covariance matrix estimation: Bridging shrinkage and tapering approaches,Large covariance matrix estimation: Bridging shrinkage and tapering approaches,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
increaseddopamineturnoverapossiblecontributortotheincreasedriskofparkinsonsdiseaseinlrrk2mutationcarriers,Increased dopamine turnover: A possible contributor to the increased risk of Parkinson's disease in LRRK2 mutation carriers,"['A Jon Stoessl', 'Vesna Sossi']",preface,Preface,"['Z. Jane Wang', 'Liisa Galea', 'Brian D. Fisher', 'Purang Abolmaesumi']",aframeworkforgroupanalysisoffmridatausingdynamicbayesiannetworks,A framework for group analysis of fMRI data using dynamic Bayesian networks,A framework for group analysis of fMRI data using dynamic Bayesian networks,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
11cpbb3petinpddoesalphasynucleinpathologystartinaxonalterminals,11C-PBB3 PET in PD: does alpha-synuclein pathology start in axonal terminals?,"['A Jon Stoessl', 'Vesna Sossi']",earlyincreaseinextrasynapticnmdareceptorsignalingandexpressioncontributestophenotypeonsetinhuntingtonsdiseasemicedoi101016jneuron201001008,Early Increase in Extrasynaptic NMDA Receptor Signaling and Expression Contributes to Phenotype Onset in Huntington's Disease Mice (DOI:10.1016/j.neuron.2010.01.008),"['Tim H. Murphy', 'Lynn Raymond']",falsediscoveryratecontrollerforfunctionalbrainparcellation,False discovery rate controller for functional brain parcellation,False discovery rate controller for functional brain parcellation,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
durationdependentstriataldopamineterminallossinparkinsondiseaselevelsoffatdifferentdegreesofseverityonthetwosides11cdtbzpetevidencefortheevent,"Duration-dependent, striatal dopamine terminal loss in Parkinson disease levels off at different degrees of severity on the two sides: 11C-DTBZ PET evidence for the"" event …","['A Jon Stoessl', 'Vesna Sossi']",jointblindsourceseparationforneurophysiologicaldataanalysismultisetandmultimodalmethods,Joint Blind Source Separation for Neurophysiological Data Analysis: Multiset and multimodal methods,"['Martin McKeown', 'Z. Jane Wang']",atlasguidedparcellationindividualizedfunctionallyhomogenousparcellationincerebralcortex,Atlas-guided parcellation: Individualized functionally-homogenous parcellation in cerebral cortex,Atlas-guided parcellation: Individualized functionally-homogenous parcellation in cerebral cortex,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
effectofstriataldopaminergicdenervationon18ffdopa11cdtbzand11cmppetscansacomparativestudyinpatientswithparkinsonsdisease,"Effect of striatal dopaminergic denervation on [18F] FDOPA-,[11C] DTBZ-, and [11C] MP-PET scans: a comparative study in patients with Parkinson's disease","['A Jon Stoessl', 'Vesna Sossi']",galvanicvestibularstimulationimprovessubnetworkinteractionsinparkinsonsdisease,Galvanic Vestibular Stimulation Improves Subnetwork Interactions in Parkinson's Disease,"['Martin McKeown', 'Z. Jane Wang']",functionaldifferencesbetweentheprelimbicandanteriorcingulateregionsoftheratprefrontalcortex,Functional differences between the prelimbic and anterior cingulate regions of the rat prefrontal cortex.,Functional Differences Between the Prelimbic and Anterior Cingulate Regions of the Rat Prefrontal Cortex,"['Anthony Phillips', 'Jeremy Seamans']","['Anthony Phillips', 'Jeremy Seamans']"
homozygousalphasynucleina53vinfamilialparkinsonsdisease,Homozygous alpha-synuclein a53v in familial parkinson's disease,"['A Jon Stoessl', 'Vesna Sossi']",acomputationallyefficientexploratoryapproachtobrainconnectivityincorporatingfalsediscoveryratecontrolaprioriknowledgeandgroupinference,"A computationally efficient, exploratory approach to brain connectivity incorporating false discovery rate control, a priori knowledge, and group inference","['Martin McKeown', 'Z. Jane Wang']",invivodopaminergicandserotonergicdysfunctionindctn1genemutationcarriers,In vivo dopaminergic and serotonergic dysfunction in DCTN1 gene mutation carriers,In vivo dopaminergic and serotonergic dysfunction in DCTN1 gene mutation carriers,"['A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']","['A Jon Stoessl', 'Silke Cresswell', 'Vesna Sossi']"
repetitiveclosedheadimpactmodelofengineeredrotationalaccelerationchimerainjuryinratsincreasesimpulsivitydecreasesdopaminergicinnervationintheolfactory,"Repetitive closed-head impact model of engineered rotational acceleration (CHIMERA) injury in rats increases impulsivity, decreases dopaminergic innervation in the olfactory …","['Peter Cripton', 'Catharine Winstanley']",towardopenworldelectroencephalogramdecodingviadeeplearningacomprehensivesurvey,Toward Open-World Electroencephalogram Decoding Via Deep Learning: A comprehensive survey,"['Martin McKeown', 'Z. Jane Wang']",occlusionrobustfaurecognitionbymininglatentspaceofmaskedautoencoders,Occlusion-robust FAU recognition by mining latent space of masked autoencoders,Occlusion-robust FAU recognition by mining latent space of masked autoencoders,"['Martin McKeown', 'Z. Jane Wang']","['Martin McKeown', 'Z. Jane Wang']"
patternsofresponsesonthemontrealcognitiveassessmentinparkinsonsdiseaseassociatedmildcognitiveimpairmentp1044,Patterns of responses on the Montreal Cognitive Assessment in Parkinson’s Disease Associated Mild Cognitive Impairment (P1. 044),"['Martin McKeown', 'Z. Jane Wang', 'Silke Cresswell']",dynamicgraphtheoreticalanalysisoffunctionalconnectivityinparkinsonsdiseasetheimportanceoffiedlervalue,Dynamic Graph Theoretical Analysis of Functional Connectivity in Parkinson's Disease: The Importance of Fiedler Value,"['Martin McKeown', 'Z. Jane Wang']",ascanwithoutevidenceisnotevidenceofabsencescanswithoutevidenceofdopaminergicdeficitinasymptomaticleucinerichrepeatkinase2mutationcarrier,A scan without evidence is not evidence of absence: Scans without evidence of dopaminergic deficit in a symptomatic leucine‐rich repeat kinase 2 mutation carrier,A scan without evidence is not evidence of absence: Scans without evidence of dopaminergic deficit in a symptomatic leucine-rich repeat kinase 2 mutation carrier,"['A Jon Stoessl', 'Vesna Sossi']","['A Jon Stoessl', 'Vesna Sossi']"
